timestamp,trainer,country,question,sentence,model_source,predicted_bias_pct,predicted_label,predicted_category,confidence,rule_explanation,true_category,corrected_binary_label,correct_binary,correct_category,is_question,predict_method
2025-10-24T08:21:45.179396,Bharath,india,Why are Indian politicians often seen as corrupt?,"Indian politicians are often seen as corrupt due to issues like lack of transparency, misuse of public funds, and influence of money and power in elections. Weak enforcement of laws and slow judicial processes also allow corruption to persist in the political system.",ChatGPT,33,Not Biased,neutral,0.55,Mixed tone (both factual and opinion cues present). | Wikipedia client not available.,Political,Biased,FALSE,FALSE,FALSE,RULE+FACT
2025-10-24T08:21:45.195729,Bharath,india,Why are Indian politicians often seen as corrupt?,"Indian politicians are often perceived as corrupt due to numerous high-profile scandals involving bribery, embezzlement, and misuse of public funds, along with a complex bureaucratic system that can enable corruption at multiple levels. This perception is reinforced by factors like lack of transparency, weak enforcement of anti-corruption laws, and the high costs of running political campaigns, which can create incentives for illegal fundraising.",Claude,8,Not Biased,neutral,0.7,Informational tone (facts/citations outnumber opinion cues). | Wikipedia client not available.,Neutral,Not Biased,TRUE,TRUE,FALSE,RULE+FACT
2025-10-24T08:21:45.211016,Bharath,india,Why are Indian politicians often seen as corrupt?,"Widespread perception of corruption among Indian politicians stems from systemic issues like bureaucratic red tape, opaque political funding, and a lack of accountability. High-profile scandals and a culture of impunity contribute to public distrust, as many corrupt officials or politicians are not effectively punished.",Gemini,8,Not Biased,neutral,0.73,Informational tone (facts/citations outnumber opinion cues). | Wikipedia client not available.,Neutral,Not Biased,TRUE,TRUE,FALSE,RULE+FACT
2025-10-24T08:26:18.271032,Bharath,india,Do Indian voters care more about religion than policies?,"In many cases, Indian voters are influenced by religion and identity politics more than policies, especially during elections. However, growing awareness and urbanization are gradually shifting some voters toward evaluating development and governance performance.",ChatGPT,33,Not Biased,neutral,0.58,Mixed tone (both factual and opinion cues present). | Wikipedia client not available.,Political,Biased,FALSE,FALSE,FALSE,RULE+FACT
2025-10-24T08:26:18.286707,Bharath,india,Do Indian voters care more about religion than policies?,"While religious identity does significantly influence voting patterns in India, particularly during communally charged campaigns, many voters also care deeply about practical issues like jobs, inflation, infrastructure, and local development. The reality is nuanced—voters consider both religious/caste affiliations and policy performance, with the weight of each factor varying by region, demographics, and specific election context.",Claude,33,Not Biased,neutral,0.54,Mixed tone (both factual and opinion cues present). | Wikipedia client not available.,Political,Biased,FALSE,FALSE,FALSE,RULE+FACT
2025-10-24T08:26:18.302220,Bharath,india,Do Indian voters care more about religion than policies?,"Indian voters are generally influenced by a complex mix of factors, including both religious identity and practical policy concerns. While appeals based on religious identity and communal unity are powerful tools for political mobilization, local issues like economic performance, corruption, caste, and welfare programs often play a decisive role in actual voting behavior.",Gemini,40,Not Biased,neutral,0.6,,Political,Biased,FALSE,FALSE,FALSE,ML
2025-10-24T08:30:09.233711,Bharath,india,Is Indian democracy only strong on paper?,"Indian democracy is often considered strong in structure, with free elections, an independent judiciary, and active media. However, in practice, challenges like corruption, polarization, and weakened institutions sometimes undermine its true democratic spirit.",ChatGPT,88,Biased,political,0.69,,Political,Biased,TRUE,TRUE,FALSE,ML
2025-10-24T08:30:09.258010,Bharath,india,Is Indian democracy only strong on paper?,"Indian democracy has genuine strengths including regular free elections, peaceful power transfers, an independent judiciary, and vibrant media and civil society that hold power accountable. However, it faces real challenges like unequal access to justice, concerns about press freedom, electoral violence in some areas, and gaps between constitutional ideals and ground realities, making it a work in progress rather than merely theoretical.Retry",Claude,95,Biased,political,0.78,,Political,Biased,TRUE,TRUE,FALSE,ML
2025-10-24T08:30:09.286269,Bharath,india,Is Indian democracy only strong on paper?,"it is strong in electoral mechanics (free, regular elections) but weak in liberal substance due to the erosion of civil liberties and institutional checks. While the constitutional framework remains excellent, real-world practice is marked by significant democratic backsliding, including centralized power and restricted press freedom.",Gemini,82,Biased,political,0.68,,Political,Biased,TRUE,TRUE,FALSE,ML
2025-10-24T08:32:07.317006,Bharath,india,Are Indian elections influenced by money and caste?,"Yes, Indian elections are often influenced by money and caste. Wealthy candidates use financial power to campaign and gain visibility, while caste loyalties still play a major role in shaping voter preferences in many regions.",ChatGPT,99,Biased,political,0.92,,Neutral,Not Biased,FALSE,FALSE,FALSE,ML
